조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,인천,입항환적,총계,18701,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5121.0,0.0,510.0,6066.0,0.0,0.0,0.0,650.0,1698.0,1543.0,0.0,2890.0
2017,1,인천,출항환적,국적선,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2017,1,인천,출항환적,외국선,3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,18.0,0.0,0.0,384.0,0.0,6.0,2.0,24.0,262.0,2272.0,0.0,242.0
2017,1,인천,출항환적,수출입계,3371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,28.0,0.0,0.0,493.0,0.0,6.0,2.0,24.0,271.0,2272.0,0.0,242.0
2017,1,인천,출항환적,연안선,1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,27.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2017,1,인천,출항환적,총계,4434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,28.0,0.0,1018.0,520.0,0.0,6.0,2.0,24.0,271.0,2290.0,0.0,242.0
2017,1,광양,입항,국적선,463707,0.0,67.0,0.0,506.0,3371.0,0.0,46.0,210.0,0.0,0.0,0.0,168116.0,0.0,40449.0,0.0,58222.0,6815.0,3347.0,61644.0,4614.0,27.0,0.0,11875.0,74785.0,2856.0,3768.0,116.0,3635.0,10055.0,2489.0,0.0,6694.0
2017,1,광양,입항,외국선,13702970,376.0,706.0,1853.0,3322.0,110047.0,9854.0,594.0,59566.0,46546.0,0.0,31009.0,2227510.0,3006702.0,437994.0,3921741.0,2285758.0,485828.0,80174.0,255211.0,28300.0,169.0,617.0,115976.0,214776.0,36401.0,84294.0,19736.0,48048.0,46170.0,6769.0,499.0,136424.0
2017,1,광양,입항,수출입계,14166677,376.0,773.0,1853.0,3828.0,113418.0,9854.0,640.0,59776.0,46546.0,0.0,31009.0,2395626.0,3006702.0,478443.0,3921741.0,2343980.0,492643.0,83521.0,316855.0,32914.0,196.0,617.0,127851.0,289561.0,39257.0,88062.0,19852.0,51683.0,56225.0,9258.0,499.0,143118.0
2017,1,광양,입항,연안선,1185581,0.0,0.0,0.0,398.0,2202.0,0.0,0.0,5778.0,195319.0,24012.0,0.0,0.0,6525.0,539383.0,0.0,156669.0,16859.0,0.0,85054.0,713.0,0.0,0.0,2181.0,47182.0,1111.0,82434.0,150.0,1186.0,470.0,62.0,0.0,17893.0
